agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Brest,2016,Ensemble 3P,7.55,66.5,6658.0,2850.0
Agglomération de Nîmes,2016,Maison 1-3P,9.049999999999999,67.16666666666667,9768.0,1632.0
Agglomération de Nîmes,2016,Ensemble 4P et plus,8.086363636363636,94.36363636363636,18919.0,6234.0
Agglomération de Nîmes,2016,Maison 4P et plus,8.31,101.3,20508.0,3464.0
Agglomération de Nîmes,2016,Appart 1P,12.011764705882353,28.11764705882353,13212.0,5464.0
Agglomération de Nîmes,2016,Appart 2P,10.14090909090909,46.04545454545455,36780.0,13384.0
Agglomération de Nîmes,2016,Appart 3P,8.75,65.16666666666667,32108.0,11016.0
Agglomération de Nîmes,2016,Appart 4P et plus,7.672222222222222,85.5,17328.0,4848.0
Agglomération de Nîmes,2016,Ensemble 1P,11.946666666666665,28.933333333333334,6760.0,4116.0
Agglomération de Nîmes,2016,Ensemble 2P,10.147368421052633,46.31578947368421,19577.0,10206.0
Agglomération de Nîmes,2016,Ensemble 3P,8.813636363636364,66.5,19559.0,9300.0
Agglomération de Toulouse,2016,Maison 1-3P,10.228571428571428,63.285714285714285,22536.0,3184.0
Agglomération de Toulouse,2016,Ensemble 4P et plus,8.98,95.4,72914.0,14868.0
Agglomération de Toulouse,2016,Maison 4P et plus,8.994736842105263,100.10526315789474,78748.0,8696.0
Agglomération de Toulouse,2016,Appart 1P,14.185714285714285,28.38095238095238,93086.0,26928.0
Agglomération de Toulouse,2016,Appart 2P,11.245454545454546,44.40909090909091,188766.0,52576.0
Agglomération de Toulouse,2016,Appart 3P,9.686363636363636,65.0909090909091,148860.0,44456.0
Agglomération de Toulouse,2016,Appart 4P et plus,8.980952380952381,90.19047619047619,67080.0,11128.0
Agglomération de Toulouse,2016,Ensemble 1P,14.238888888888889,28.27777777777778,46866.0,20250.0
Agglomération de Toulouse,2016,Ensemble 2P,11.205,44.35,96756.0,39744.0
Agglomération de Toulouse,2016,Ensemble 3P,9.652380952380952,66.38095238095238,83004.0,35364.0
Agglomération de Bordeaux,2016,Maison 1-3P,9.87142857142857,69.71428571428571,19718.0,1952.0
Agglomération de Bordeaux,2016,Ensemble 4P et plus,9.325000000000001,100.0,29415.0,4773.0
Agglomération de Bordeaux,2016,Maison 4P et plus,9.444444444444445,104.77777777777777,35308.0,3612.0
Agglomération de Bordeaux,2016,Appart 1P,14.799999999999999,28.333333333333332,49860.0,4776.0
Agglomération de Bordeaux,2016,Appart 2P,11.577777777777778,45.666666666666664,73982.0,13180.0
Agglomération de Bordeaux,2016,Appart 3P,10.133333333333333,66.88888888888889,50318.0,9636.0
Agglomération de Bordeaux,2016,Appart 4P et plus,9.233333333333333,94.55555555555556,23522.0,2752.0
Agglomération de Bordeaux,2016,Ensemble 1P,14.7875,28.375,25340.0,3612.0
Agglomération de Bordeaux,2016,Ensemble 2P,11.625,45.875,39396.0,10128.0
Agglomération de Bordeaux,2016,Ensemble 3P,10.025,68.875,32204.0,8418.0
